observationid,region,year,month,quarter,type,averageprice,totalvolume,supplierid
10685,Orlando,2017,7,3,Organic,1.9,5505.07,C
4056,New Orleans/Mobile,2018,1,1,Organic,1.42,5509.3,C
15091,Richmond/Norfolk,2016,2,1,Organic,1.29,5510.43,A
15527,Tampa,2016,4,2,Organic,1.31,5511.75,A
10624,Louisville,2017,7,3,Organic,1.26,5513.09,C
4526,Jacksonville,2018,3,1,Organic,1.75,5518.73,C
6302,Spokane,2018,11,4,Organic,1.85,5520.61,C
14985,Richmond/Norfolk,2016,1,1,Organic,1.35,5520.68,A
16342,Hartford/Springfield,2016,7,3,Organic,2.19,5524.69,A
17001,Sacramento,2016,10,4,Organic,2.23,5525.46,A
16706,Columbus,2016,9,3,Organic,1.58,5525.95,A
3920,Tampa,2018,1,1,Organic,1.59,5528.74,C
951,Syracuse,2019,1,1,Organic,1.19,5536.68,C
1243,Louisville,2019,1,1,Organic,1.19,5541.45,C
5189,Spokane,2018,6,2,Organic,1.7,5544.38,C
14991,South Carolina,2016,1,1,Organic,1.54,5545.65,A
5645,Nashville,2018,8,3,Organic,1.56,5549.8,C
15951,Tampa,2016,6,2,Organic,1.36,5554.46,A
9581,Sacramento,2017,2,1,Organic,2.25,5559,C
16854,West Tex/New Mexico,2016,10,4,Organic,2.79,5562,A
15037,Raleigh/Greensboro,2016,2,1,Organic,1.54,5562.26,A
10229,Tampa,2017,5,2,Organic,1.64,5564.72,C
4818,Spokane,2018,4,2,Organic,1.68,5570.28,C
16094,Pittsburgh,2016,6,2,Organic,1.48,5570.89,A
9454,Indianapolis,2017,1,1,Organic,1.04,5571.99,C
10441,Tampa,2017,6,2,Organic,1.99,5574.93,C
11953,New Orleans/Mobile,2017,12,4,Organic,1.45,5574.96,C
16782,Phoenix/Tucson,2016,9,3,Organic,2.47,5578.01,A
11870,Tampa,2017,12,4,Organic,1.56,5580.67,C
15696,Charlotte,2016,5,2,Organic,1.79,5581.18,A
949,Spokane,2019,1,1,Organic,1.87,5581.78,C
11502,Albany,2017,10,4,Organic,1.38,5583.79,C
16341,Harrisburg/Scranton,2016,7,3,Organic,1.68,5590.38,A
15079,Nashville,2016,2,1,Organic,1.42,5590.9,A
11526,Miami/Ft. Lauderdale,2017,10,4,Organic,1.84,5595.86,C
15720,Orlando,2016,5,2,Organic,1.68,5598.49,A
17469,Orlando,2016,12,4,Organic,1.27,5601.65,A
15561,Orlando,2016,4,2,Organic,1.64,5604.81,A
1055,Spokane,2019,1,1,Organic,1.89,5608.19,C
11923,Tampa,2017,12,4,Organic,1.58,5609.58,C
14789,Atlanta,2016,1,1,Organic,1.66,5614.09,A
6278,Louisville,2018,11,4,Organic,1.46,5617.11,C
699,Cincinnati/Dayton,2019,2,1,Organic,1.59,5623.84,C
10589,Sacramento,2017,6,2,Organic,2.37,5625.98,C
6308,Albany,2018,11,4,Organic,1.4,5629.44,C
266,Albany,2019,3,1,Organic,1.2,5630,C
9536,St. Louis,2017,2,1,Organic,1.32,5630.1,C
11740,Nashville,2017,11,4,Organic,1.57,5631.95,C
16895,Sacramento,2016,10,4,Organic,2.39,5634.61,A
9263,Sacramento,2017,1,1,Organic,2.24,5635.27,C
15935,Pittsburgh,2016,6,2,Organic,1.49,5639.69,A
4712,Spokane,2018,4,2,Organic,1.63,5644.13,C
5456,Syracuse,2018,7,3,Organic,1.23,5644.54,C
10121,St. Louis,2017,4,2,Organic,1.93,5647.44,C
17066,West Tex/New Mexico,2016,10,4,Organic,2.57,5647.48,A
11794,New Orleans/Mobile,2017,12,4,Organic,1.46,5649.91,C
15296,Orlando,2016,3,1,Organic,1.52,5651.13,A
16120,Charlotte,2016,7,3,Organic,1.72,5662.13,A
14798,Columbus,2016,1,1,Organic,1.37,5663.07,A
16173,Charlotte,2016,7,3,Organic,1.81,5664.83,A
15737,St. Louis,2016,5,2,Organic,1.47,5666.7,A
17416,Orlando,2016,12,4,Organic,1.26,5670.99,A
10853,Sacramento,2017,7,3,Organic,1.86,5676.06,C
17054,Sacramento,2016,10,4,Organic,2.44,5676.57,A
15855,Charlotte,2016,5,2,Organic,1.66,5676.93,A
5003,Jacksonville,2018,5,2,Organic,1.77,5678.59,C
17083,Harrisburg/Scranton,2016,11,4,Organic,1.9,5678.73,A
16408,Northern New England,2016,8,3,Organic,1.28,5685.2,A
9254,Orlando,2017,1,1,Organic,1.28,5686.95,C
16595,Buffalo/Rochester,2016,9,3,Organic,1.53,5688.2,A
6037,Spokane,2018,10,4,Organic,2.04,5689.82,C
9316,Sacramento,2017,1,1,Organic,2.15,5692.25,C
10280,St. Louis,2017,5,2,Organic,1.59,5693.95,C
15667,Orlando,2016,5,2,Organic,1.6,5699.71,A
1267,Spokane,2019,1,1,Organic,1.91,5702.5,C
11851,Orlando,2017,12,4,Organic,1.6,5703.21,C
4102,Jacksonville,2018,1,1,Organic,2.01,5704.39,C
11965,Roanoke,2017,12,4,Organic,1.54,5711.05,C
10343,Buffalo/Rochester,2017,5,2,Organic,2.19,5712.13,C
10438,Spokane,2017,6,2,Organic,1.56,5718.65,C
11656,St. Louis,2017,11,4,Organic,1.96,5719.05,C
10255,Louisville,2017,5,2,Organic,1.15,5721.61,C
11868,St. Louis,2017,12,4,Organic,1.72,5723.01,C
5083,Spokane,2018,6,2,Organic,1.76,5726.95,C
15376,Buffalo/Rochester,2016,3,1,Organic,1.57,5728.61,A
14984,Raleigh/Greensboro,2016,1,1,Organic,1.56,5730.24,A
15484,Charlotte,2016,4,2,Organic,1.6,5734.3,A
15643,Charlotte,2016,5,2,Organic,1.68,5736.02,A
15054,Atlanta,2016,2,1,Organic,1.59,5737.5,A
14740,Buffalo/Rochester,2016,1,1,Organic,1.44,5738.68,A
16030,Louisville,2016,6,2,Organic,0.85,5739.09,A
14761,Nashville,2016,1,1,Organic,1.42,5741.19,A
10915,Syracuse,2017,8,3,Organic,1.37,5742.08,C
16063,Boise,2016,6,2,Organic,1.26,5744.45,A
9674,New Orleans/Mobile,2017,2,1,Organic,1.33,5744.81,C
9493,Buffalo/Rochester,2017,2,1,Organic,1.81,5750.39,C
14867,Nashville,2016,1,1,Organic,1.51,5750.49,A
4553,Spokane,2018,3,1,Organic,1.59,5750.56,C
15455,Orlando,2016,4,2,Organic,1.56,5754.88,A
3909,Roanoke,2018,1,1,Organic,1.5,5756.97,C
14973,Nashville,2016,1,1,Organic,1.39,5767.66,A
16876,Las Vegas,2016,10,4,Organic,2.09,5771.2,A
5491,Orlando,2018,7,3,Organic,1.45,5773.26,C
372,Albany,2019,3,1,Organic,1.23,5775.92,C
4953,Louisville,2018,5,2,Organic,1.59,5777.15,C
15772,Northern New England,2016,5,2,Organic,1.22,5778.15,A
5798,Jacksonville,2018,9,3,Organic,1.56,5779.92,C
10475,Orlando,2017,6,2,Organic,1.97,5784.5,C
10358,Jacksonville,2017,5,2,Organic,2.09,5786.49,C
11900,New Orleans/Mobile,2017,12,4,Organic,1.37,5789.43,C
16841,Roanoke,2016,10,4,Organic,1.69,5791.95,A
6039,Syracuse,2018,10,4,Organic,1.24,5792.9,C
4500,Spokane,2018,3,1,Organic,1.6,5793.89,C
17382,Tampa,2016,12,4,Organic,1.37,5795.54,A
15971,Hartford/Springfield,2016,6,2,Organic,2.31,5799.45,A
15026,Nashville,2016,2,1,Organic,1.4,5805.78,A
4267,Nashville,2018,2,1,Organic,1.38,5810.43,C
11635,New Orleans/Mobile,2017,11,4,Organic,1.64,5811.87,C
10840,New Orleans/Mobile,2017,7,3,Organic,1.25,5816.2,C
11709,St. Louis,2017,11,4,Organic,1.64,5820.91,C
17252,Nashville,2016,11,4,Organic,1.44,5824.66,A
3893,Louisville,2018,1,1,Organic,1.16,5828.21,C
9885,Miami/Ft. Lauderdale,2017,3,1,Organic,1.74,5830.75,C
6328,Jacksonville,2018,11,4,Organic,1.7,5831.51,C
11634,Nashville,2017,11,4,Organic,1.74,5833.9,C
9933,Indianapolis,2017,4,2,Organic,1.37,5834.51,C
11904,Orlando,2017,12,4,Organic,1.6,5835.48,C
10271,Roanoke,2017,5,2,Organic,1.81,5838.07,C
9271,St. Louis,2017,1,1,Organic,1.46,5850.8,C
17286,Charlotte,2016,12,4,Organic,1.99,5851.2,A
15620,Raleigh/Greensboro,2016,4,2,Organic,1.61,5854.3,A
313,Spokane,2019,3,1,Organic,1.72,5857.77,C
15906,Buffalo/Rochester,2016,6,2,Organic,1.54,5859.34,A
17363,Orlando,2016,12,4,Organic,1.4,5860.1,A
17327,St. Louis,2016,12,4,Organic,1.43,5860.55,A
9964,Tampa,2017,4,2,Organic,1.93,5864.06,C
16110,Tampa,2016,6,2,Organic,1.5,5867.74,A
10385,Spokane,2017,5,2,Organic,1.48,5870.75,C
15646,Columbus,2016,5,2,Organic,1.29,5872.4,A
4685,Jacksonville,2018,4,2,Organic,1.74,5872.54,C
11685,Miami/Ft. Lauderdale,2017,11,4,Organic,1.63,5873.34,C
16797,St. Louis,2016,9,3,Organic,1.5,5873.36,A
11582,New Orleans/Mobile,2017,11,4,Organic,1.7,5876.27,C
16065,Buffalo/Rochester,2016,6,2,Organic,1.78,5882.19,A
16302,Northern New England,2016,7,3,Organic,1.13,5882.29,A
10256,Miami/Ft. Lauderdale,2017,5,2,Organic,1.42,5883.23,C
15988,Pittsburgh,2016,6,2,Organic,1.47,5885.34,A
9406,Miami/Ft. Lauderdale,2017,1,1,Organic,1.19,5887.98,C
17024,Columbus,2016,10,4,Organic,1.8,5890.85,A
14755,Jacksonville,2016,1,1,Organic,1.51,5893.02,A
14779,South Carolina,2016,1,1,Organic,1.58,5893.4,A
5586,Jacksonville,2018,8,3,Organic,1.58,5895.35,C
14752,Hartford/Springfield,2016,1,1,Organic,1.51,5895.92,A
16253,Pittsburgh,2016,7,3,Organic,1.44,5896.38,A
15039,Roanoke,2016,2,1,Organic,1.29,5897.89,A
15408,Raleigh/Greensboro,2016,3,1,Organic,1.43,5902.81,A
9273,Tampa,2017,1,1,Organic,1.22,5905.05,C
4423,Louisville,2018,3,1,Organic,1.35,5905.79,C
6366,Buffalo/Rochester,2018,11,4,Organic,1.38,5912.76,C
5711,Roanoke,2018,8,3,Organic,1.8,5917.1,C
9961,Spokane,2017,4,2,Organic,1.32,5923.05,C
10078,Buffalo/Rochester,2017,4,2,Organic,2.14,5924.92,C
11162,Orlando,2017,9,3,Organic,2.12,5927.43,C
15872,Miami/Ft. Lauderdale,2016,5,2,Organic,1.27,5931.42,A
5827,Syracuse,2018,9,3,Organic,1.28,5937.06,C
14938,South Carolina,2016,1,1,Organic,1.5,5939.18,A
10237,Buffalo/Rochester,2017,5,2,Organic,2.16,5945.03,C
9233,Columbus,2017,1,1,Organic,1.58,5948.66,C
15122,Harrisburg/Scranton,2016,2,1,Organic,1.87,5950.64,A
15085,Philadelphia,2016,2,1,Organic,2.07,5952.62,A
11921,St. Louis,2017,12,4,Organic,1.63,5954.71,C
10325,Sacramento,2017,5,2,Organic,2.4,5955.32,C
5692,Jacksonville,2018,8,3,Organic,1.3,5955.51,C
17295,Harrisburg/Scranton,2016,12,4,Organic,2.01,5955.63,A
16465,Pittsburgh,2016,8,3,Organic,1.54,5960.37,A
16888,Phoenix/Tucson,2016,10,4,Organic,2.4,5962.78,A
11445,Syracuse,2017,10,4,Organic,1.34,5963.47,C
10640,Roanoke,2017,7,3,Organic,1.78,5965.12,C
9565,Miami/Ft. Lauderdale,2017,2,1,Organic,1.29,5966.83,C
9848,Sacramento,2017,3,1,Organic,2.46,5971.13,C
10227,St. Louis,2017,5,2,Organic,1.7,5974.03,C
633,Syracuse,2019,2,1,Organic,1.13,5979.66,C
9834,Nashville,2017,3,1,Organic,0.92,5986.47,C
10025,Buffalo/Rochester,2017,4,2,Organic,2.14,5987.27,C
15100,Spokane,2016,2,1,Organic,0.98,5990.65,A
1246,Nashville,2019,1,1,Organic,1.4,5994.73,C
10362,Miami/Ft. Lauderdale,2017,5,2,Organic,1.88,6000.97,C
15749,Charlotte,2016,5,2,Organic,1.69,6007.48,A
1114,Albany,2019,1,1,Organic,1.28,6013.38,C
15614,Orlando,2016,4,2,Organic,1.61,6013.98,A
9422,Sacramento,2017,1,1,Organic,1.89,6015.68,C
10958,Roanoke,2017,8,3,Organic,2,6017.04,C
16994,Phoenix/Tucson,2016,10,4,Organic,2.22,6017.53,A
14827,Roanoke,2016,1,1,Organic,1.28,6018.32,A
14986,Roanoke,2016,1,1,Organic,1.33,6019.01,A
5484,Miami/Ft. Lauderdale,2018,7,3,Organic,1.32,6019.06,C
16296,Miami/Ft. Lauderdale,2016,7,3,Organic,1.19,6019.75,A
9795,Sacramento,2017,3,1,Organic,2.36,6022.12,C
17160,Sacramento,2016,11,4,Organic,2.65,6026.15,A
11777,Columbus,2017,12,4,Organic,1.54,6026.57,C
5561,St. Louis,2018,8,3,Organic,2.24,6031.17,C
16556,Indianapolis,2016,8,3,Organic,1.25,6033.01,A
9815,Charlotte,2017,3,1,Organic,1.96,6033.09,C
292,Nashville,2019,3,1,Organic,1.49,6035.61,C
10940,Las Vegas,2017,8,3,Organic,2.05,6042.06,C
10559,Columbus,2017,6,2,Organic,1.28,6043.34,C
11692,Orlando,2017,11,4,Organic,1.8,6044.64,C
9367,Richmond/Norfolk,2017,1,1,Organic,1.56,6047,C
4977,Spokane,2018,5,2,Organic,1.67,6053.41,C
9466,Orlando,2017,1,1,Organic,1.47,6055.75,C
9741,Sacramento,2017,3,1,Organic,2.5,6056.68,C
15908,Charlotte,2016,6,2,Organic,1.6,6062.33,A
3901,Orlando,2018,1,1,Organic,1.82,6063.44,C
73,Indianapolis,2019,3,1,Organic,1.25,6064.69,B
10491,Spokane,2017,6,2,Organic,1.45,6065.6,C
17098,Orlando,2016,11,4,Organic,1.56,6077.14,A
16394,Harrisburg/Scranton,2016,8,3,Organic,1.72,6079.97,A
5507,Spokane,2018,7,3,Organic,1.76,6081.97,C
15985,Orlando,2016,6,2,Organic,1.58,6084.04,A
5483,Louisville,2018,7,3,Organic,1.67,6084.41,C
11390,Spokane,2017,10,4,Organic,2.27,6086.65,C
11529,New Orleans/Mobile,2017,10,4,Organic,1.7,6088.13,C
11099,Las Vegas,2017,9,3,Organic,2.64,6091.55,C
15321,Boise,2016,3,1,Organic,0.82,6092.98,A
16677,Pittsburgh,2016,9,3,Organic,1.49,6094.84,A
1039,Orlando,2019,1,1,Organic,1.4,6096.55,C
11550,St. Louis,2017,10,4,Organic,1.8,6098.89,C
17441,Boise,2016,12,4,Organic,0.77,6098.96,A
11815,St. Louis,2017,12,4,Organic,1.81,6102.5,C
11579,Miami/Ft. Lauderdale,2017,11,4,Organic,1.96,6103.24,C
4386,Roanoke,2018,3,1,Organic,1.78,6103.89,C
10468,Miami/Ft. Lauderdale,2017,6,2,Organic,1.89,6104.29,C
14832,South Carolina,2016,1,1,Organic,1.6,6107.02,A
716,Nashville,2019,2,1,Organic,1.73,6111.08,C
17371,Roanoke,2016,12,4,Organic,1.39,6116.62,A
17488,Tampa,2016,12,4,Organic,1.21,6117.58,A
5165,Louisville,2018,6,2,Organic,1.55,6126.67,C
9572,Orlando,2017,2,1,Organic,1.49,6127.62,C
11728,Grand Rapids,2017,11,4,Organic,1.3,6128.58,C
11417,Las Vegas,2017,10,4,Organic,1.99,6132.37,C
15309,South Carolina,2016,3,1,Organic,1.45,6135.77,A
16614,Miami/Ft. Lauderdale,2016,9,3,Organic,1.36,6149.19,A
16359,Pittsburgh,2016,7,3,Organic,1.49,6155.8,A
5242,Spokane,2018,6,2,Organic,1.68,6166.26,C
16524,Sacramento,2016,8,3,Organic,2.19,6172.17,A
10309,Miami/Ft. Lauderdale,2017,5,2,Organic,1.58,6177.03,C
16501,Hartford/Springfield,2016,8,3,Organic,2.09,6181.23,A
11781,Grand Rapids,2017,12,4,Organic,1.31,6184.48,C
17265,Roanoke,2016,11,4,Organic,1.1,6187.92,A
5933,Syracuse,2018,9,3,Organic,1.26,6192.92,C
10950,Orlando,2017,8,3,Organic,2.12,6193.38,C
14895,Atlanta,2016,1,1,Organic,1.65,6193.73,A
10599,Tampa,2017,6,2,Organic,2.09,6199.5,C
9300,Miami/Ft. Lauderdale,2017,1,1,Organic,1.23,6214.43,C
10205,Nashville,2017,5,2,Organic,1.22,6216.76,C
15429,Buffalo/Rochester,2016,4,2,Organic,1.48,6217.4,A
16907,West Tex/New Mexico,2016,10,4,Organic,2.35,6223.98,A
5191,Syracuse,2018,6,2,Organic,1.14,6234.81,C
10625,Miami/Ft. Lauderdale,2017,7,3,Organic,1.92,6241.89,C
9954,Sacramento,2017,4,2,Organic,2.31,6244.05,C
17351,Indianapolis,2016,12,4,Organic,1.09,6248.59,A
11834,Grand Rapids,2017,12,4,Organic,1.29,6253.08,C
17353,Las Vegas,2016,12,4,Organic,1.76,6257.58,A
16621,Orlando,2016,9,3,Organic,1.85,6266.14,A
9483,St. Louis,2017,1,1,Organic,1.36,6269.88,C
6334,Nashville,2018,11,4,Organic,1.76,6271.3,C
10060,Sacramento,2017,4,2,Organic,2.35,6274.05,C
16940,Philadelphia,2016,10,4,Organic,2.26,6276.25,A
6116,Jacksonville,2018,10,4,Organic,1.67,6277.37,C
17435,Tampa,2016,12,4,Organic,1.22,6281.56,A
6159,Columbus,2018,10,4,Organic,1.44,6282.24,C
10007,Sacramento,2017,4,2,Organic,2.37,6283.41,C
17152,Philadelphia,2016,11,4,Organic,2.45,6285.53,A
11807,Sacramento,2017,12,4,Organic,1.69,6289.72,C
9330,Atlanta,2017,1,1,Organic,1.62,6291.29,C
17040,Nashville,2016,10,4,Organic,1.68,6293.04,A
4184,Syracuse,2018,2,1,Organic,1.22,6294.16,C
11680,Indianapolis,2017,11,4,Organic,1.42,6294.98,C
16568,Orlando,2016,8,3,Organic,1.8,6294.99,A
4130,St. Louis,2018,1,1,Organic,1.76,6297.35,C
11738,Miami/Ft. Lauderdale,2017,11,4,Organic,1.67,6302.07,C
16722,Nashville,2016,9,3,Organic,1.5,6309.42,A
11210,Nashville,2017,9,3,Organic,1.89,6311.86,C
103,Syracuse,2019,3,1,Organic,1.25,6314.12,B
11552,Tampa,2017,10,4,Organic,1.94,6320.26,C
16569,Philadelphia,2016,8,3,Organic,2.06,6321.4,A
15487,Columbus,2016,4,2,Organic,1.52,6323.62,A
11581,Nashville,2017,11,4,Organic,1.71,6330.44,C
10166,Sacramento,2017,4,2,Organic,2.39,6331.52,C
17053,Roanoke,2016,10,4,Organic,1.77,6335.66,A
9940,Nashville,2017,4,2,Organic,1.17,6336.78,C
10746,Roanoke,2017,7,3,Organic,1.64,6337.48,C
16250,Orlando,2016,7,3,Organic,1.9,6345.68,A
15766,Miami/Ft. Lauderdale,2016,5,2,Organic,1.42,6346.82,A
9338,Cincinnati/Dayton,2017,1,1,Organic,1.88,6349.77,C
4871,Spokane,2018,5,2,Organic,1.59,6352.76,C
5006,Louisville,2018,5,2,Organic,1.46,6356.63,C
11338,St. Louis,2017,10,4,Organic,1.41,6358.44,C
16515,Orlando,2016,8,3,Organic,1.85,6359.75,A
5666,Spokane,2018,8,3,Organic,1.93,6363.69,C
15229,Hartford/Springfield,2016,3,1,Organic,2.18,6367.65,A
5817,Roanoke,2018,9,3,Organic,1.8,6369.4,C
17370,Richmond/Norfolk,2016,12,4,Organic,1.58,6376.59,A
15932,Orlando,2016,6,2,Organic,1.51,6376.64,A
11912,Roanoke,2017,12,4,Organic,1.58,6387.27,C
5430,Louisville,2018,7,3,Organic,1.62,6393.33,C
4131,Syracuse,2018,1,1,Organic,1.19,6393.58,C
11499,Tampa,2017,10,4,Organic,2.18,6399.75,C
16133,Jacksonville,2016,7,3,Organic,1.26,6402.23,A
15335,Hartford/Springfield,2016,3,1,Organic,2.3,6407.43,A
16842,Sacramento,2016,10,4,Organic,2.33,6408.53,A
9591,Tampa,2017,2,1,Organic,1.44,6411.93,C
11285,St. Louis,2017,9,3,Organic,1.4,6416.81,C
14826,Richmond/Norfolk,2016,1,1,Organic,1.35,6424.72,A
16840,Richmond/Norfolk,2016,10,4,Organic,1.79,6425,A
9568,New Orleans/Mobile,2017,2,1,Organic,1.33,6425.79,C
9307,Orlando,2017,1,1,Organic,1.26,6429.15,C
17419,Pittsburgh,2016,12,4,Organic,1.48,6429.27,A
11869,Syracuse,2017,12,4,Organic,1.13,6431.82,C
15567,Raleigh/Greensboro,2016,4,2,Organic,1.49,6440.23,A
16057,Tampa,2016,6,2,Organic,1.36,6441.8,A
5804,Nashville,2018,9,3,Organic,1.72,6443.14,C
17189,Harrisburg/Scranton,2016,11,4,Organic,1.85,6445.71,A
4924,Spokane,2018,5,2,Organic,1.61,6446.51,C
10039,Indianapolis,2017,4,2,Organic,1.35,6451.24,C
9884,Louisville,2017,3,1,Organic,0.74,6459.97,C
11533,Orlando,2017,10,4,Organic,2.01,6466.78,C
10068,St. Louis,2017,4,2,Organic,2.03,6470.01,C
17259,Phoenix/Tucson,2016,11,4,Organic,2.01,6470.08,A
9845,Raleigh/Greensboro,2017,3,1,Organic,1.83,6478.95,C
10521,Miami/Ft. Lauderdale,2017,6,2,Organic,1.88,6480.65,C
10547,Tampa,2017,6,2,Organic,2.07,6480.98,C
10774,Grand Rapids,2017,7,3,Organic,1.27,6483.93,C
15590,Charlotte,2016,4,2,Organic,1.67,6489.79,A
15323,Buffalo/Rochester,2016,3,1,Organic,1.48,6490.21,A
17482,South Carolina,2016,12,4,Organic,1.59,6491.55,A
4183,St. Louis,2018,2,1,Organic,1.69,6493.79,C
16717,Las Vegas,2016,9,3,Organic,2.04,6494.77,A
15607,Miami/Ft. Lauderdale,2016,4,2,Organic,1.39,6498.57,A
10484,Sacramento,2017,6,2,Organic,2.5,6504.06,C
14825,Raleigh/Greensboro,2016,1,1,Organic,1.59,6504.77,A
5923,Roanoke,2018,9,3,Organic,1.79,6506.31,C
10467,Louisville,2017,6,2,Organic,1,6507.2,C
9901,Sacramento,2017,3,1,Organic,2.44,6509.21,C
11363,Jacksonville,2017,10,4,Organic,2.25,6511.51,C
9526,Richmond/Norfolk,2017,2,1,Organic,1.42,6511.84,C
3963,Sacramento,2018,1,1,Organic,2.18,6511.97,C
1270,Tampa,2019,1,1,Organic,1.45,6512.32,C
5295,Spokane,2018,7,3,Organic,1.67,6513.19,C
15673,Raleigh/Greensboro,2016,5,2,Organic,1.59,6514.47,A
3894,Miami/Ft. Lauderdale,2018,1,1,Organic,1.48,6518.64,C
9326,Tampa,2017,1,1,Organic,1.21,6520.7,C
14904,Columbus,2016,1,1,Organic,0.96,6522.27,A
16137,Miami/Ft. Lauderdale,2016,7,3,Organic,1.24,6525.8,A
11521,Indianapolis,2017,10,4,Organic,1.54,6531.55,C
17046,Philadelphia,2016,10,4,Organic,2.39,6531.71,A
17170,Tampa,2016,11,4,Organic,1.49,6531.96,A
11700,Roanoke,2017,11,4,Organic,1.54,6534.46,C
9430,St. Louis,2017,1,1,Organic,1.4,6534.61,C
17247,Las Vegas,2016,11,4,Organic,1.74,6539.69,A
9941,New Orleans/Mobile,2017,4,2,Organic,1.55,6540.24,C
285,Indianapolis,2019,3,1,Organic,1.44,6542.7,C
9666,Indianapolis,2017,2,1,Organic,0.9,6549.33,C
4791,Jacksonville,2018,4,2,Organic,1.94,6550.3,C
14920,Nashville,2016,1,1,Organic,1.37,6554.54,A
11248,Dallas/Ft. Worth,2017,9,3,Organic,1.69,6554.93,C
15092,Roanoke,2016,2,1,Organic,1.21,6559.49,A
4367,Jacksonville,2018,3,1,Organic,1.92,6562.68,C
11632,Miami/Ft. Lauderdale,2017,11,4,Organic,1.94,6563.71,C
15898,Tampa,2016,5,2,Organic,1.33,6565.11,A
11605,Tampa,2017,11,4,Organic,1.95,6566.58,C
10651,Tampa,2017,7,3,Organic,2.08,6570.14,C
11497,St. Louis,2017,10,4,Organic,2.02,6578.62,C
740,Tampa,2019,2,1,Organic,1.23,6578.97,C
11648,Sacramento,2017,11,4,Organic,1.81,6581.85,C
11337,Spokane,2017,10,4,Organic,2.36,6583.11,C
10117,South Carolina,2017,4,2,Organic,1.97,6587.58,C
17233,Charlotte,2016,11,4,Organic,2.03,6587.92,A
10809,Syracuse,2017,7,3,Organic,1.25,6588.03,C
14948,Atlanta,2016,1,1,Organic,1.71,6591.53,A
17447,Cincinnati/Dayton,2016,12,4,Organic,1.73,6592.44,A
11735,Las Vegas,2017,11,4,Organic,1.95,6599.52,C
11158,New Orleans/Mobile,2017,9,3,Organic,1.63,6601.76,C
11830,Columbus,2017,12,4,Organic,1.52,6603.57,C
17422,Raleigh/Greensboro,2016,12,4,Organic,1.6,6604.78,A
15705,Harrisburg/Scranton,2016,5,2,Organic,1.6,6605.29,A
4108,Nashville,2018,1,1,Organic,1.63,6610.16,C
9687,Sacramento,2017,2,1,Organic,2.06,6616.58,C
15959,Buffalo/Rochester,2016,6,2,Organic,1.57,6617.16,A
15213,Atlanta,2016,3,1,Organic,1.66,6619.18,A
15282,Hartford/Springfield,2016,3,1,Organic,2.18,6620.7,A
4480,New Orleans/Mobile,2018,3,1,Organic,1.35,6622.76,C
17264,Richmond/Norfolk,2016,11,4,Organic,1.27,6626.94,A
9408,Nashville,2017,1,1,Organic,0.86,6627.34,C
15779,Raleigh/Greensboro,2016,5,2,Organic,1.66,6628.06,A
11064,Roanoke,2017,8,3,Organic,2.17,6628.13,C
11883,Columbus,2017,12,4,Organic,1.56,6639.05,C
9934,Jacksonville,2017,4,2,Organic,1.43,6642.01,C
15826,Orlando,2016,5,2,Organic,1.59,6642.88,A
9735,Pittsburgh,2017,3,1,Organic,1.43,6643.48,C
15303,Richmond/Norfolk,2016,3,1,Organic,1.23,6650.92,A
17401,Harrisburg/Scranton,2016,12,4,Organic,1.82,6655.29,A
17062,St. Louis,2016,10,4,Organic,1,6655.57,A
5454,Spokane,2018,7,3,Organic,1.65,6656.9,C
4007,Orlando,2018,1,1,Organic,1.55,6659.77,C
10378,Sacramento,2017,5,2,Organic,2.46,6662.68,C
15381,Columbus,2016,3,1,Organic,1.54,6663.94,A
15675,Roanoke,2016,5,2,Organic,1.35,6667.12,A
17084,Hartford/Springfield,2016,11,4,Organic,2.57,6674.17,A
4741,Louisville,2018,4,2,Organic,1.47,6679.9,C
11688,New Orleans/Mobile,2017,11,4,Organic,1.49,6681.63,C
15450,Nashville,2016,4,2,Organic,1.59,6681.85,A
10210,Orlando,2017,5,2,Organic,1.57,6683.62,C
5136,Spokane,2018,6,2,Organic,1.53,6687.02,C
11436,Sacramento,2017,10,4,Organic,1.92,6689.14,C
11753,Roanoke,2017,11,4,Organic,1.56,6698.22,C
15462,Richmond/Norfolk,2016,4,2,Organic,1.35,6699.78,A
16887,Philadelphia,2016,10,4,Organic,2.17,6701.46,A
11899,Nashville,2017,12,4,Organic,1.62,6706.15,C
17052,Richmond/Norfolk,2016,10,4,Organic,1.76,6706.92,A
15805,Columbus,2016,5,2,Organic,1.31,6711.12,A
17194,Las Vegas,2016,11,4,Organic,1.83,6717.05,A
16455,Miami/Ft. Lauderdale,2016,8,3,Organic,1.34,6720.9,A
17260,Pittsburgh,2016,11,4,Organic,1.53,6723.98,A
16038,Orlando,2016,6,2,Organic,1.51,6725.85,A
5667,St. Louis,2018,8,3,Organic,1.92,6725.88,C
16850,St. Louis,2016,10,4,Organic,1.23,6734.06,A
16462,Orlando,2016,8,3,Organic,1.88,6737.38,A
11711,Tampa,2017,11,4,Organic,1.74,6739.72,C
16744,St. Louis,2016,9,3,Organic,1.54,6740.24,A
16409,Orlando,2016,8,3,Organic,1.9,6740.73,A
9413,Orlando,2017,1,1,Organic,1.26,6741.5,C
10372,Pittsburgh,2017,5,2,Organic,1.54,6743.84,C
11675,Grand Rapids,2017,11,4,Organic,1.27,6745.48,C
